ょ	う	193741
て	い	111310
っ	て	105226
し	ょ	97629
し	た	95523
ま	す	93409
で	す	89811
し	て	88279
す	。	86635
ゅ	う	85614
な	い	85567
た	。	84572
っ	た	77838
こ	う	71094
よ	う	70440
か	い	68987
う	し	66010
か	ん	65755
か	ら	62685
こ	と	62609
＿	（	62155	こ	こ
い	ま	60911
せ	い	60409
＿	そ	59656	も	も
た	い	59286
じ	ょ	56947
＿	こ	56376	ら	ら
は	、	56282
い	し	55457
せ	ん	54345
の	で	54001
＿	と	51907	を	を
う	に	51084
ま	し	50773
ん	で	50743
・	・	50074
ん	の	48679
＿	し	48656	よ	よ
い	の	48249
ん	し	48042
＿	か	47688	そ	そ
さ	い	47670
い	た	46259
す	る	46196
し	ゃ	45740
＿	い	45263	み	み
し	ゅ	45113
だ	い	45103
と	う	45016
さ	ん	44272
い	る	43421
う	か	42892
り	ま	42737
い	で	42513
し	ん	41956
う	の	41717
い	ち	40872
ん	が	40704
が	い	39844
お	も	39821
と	い	39732
＿	あ	39587	ぎ	ず
が	、	39576
そ	う	38759
き	ょ	38438
ど	う	38395
＿	お	38352	べ	ぼ
い	と	37970
い	て	37716
ほ	う	37529
あ	る	37343
ん	に	37031
い	か	36251
た	し	35899
と	お	35764
し	ま	35186
て	、	34396
じ	ゅ	34259
け	ん	33951
る	と	33879
ん	と	33222
で	し	33173
い	う	33112
＿	に	32878	ヴ	ぢ
ん	じ	32855
う	が	32113
い	っ	31747
い	い	31525
て	き	31160
い	に	31030
の	か	30742
＿	。	30733
る	の	30572
ん	か	30398
は	な	30377
け	い	30338
＿	ま	30281
ん	な	30182
に	な	29942
そ	の	29905
に	は	29840
た	の	29753
も	い	29744
る	。	29655
も	の	29409
な	か	29245
＿	じ	28838
ぶ	ん	28786
う	で	28489
り	ょ	28431
＿	さ	28287
す	が	28178
は	い	28173
ん	だ	27946
ち	ょ	27814
わ	た	27454
の	こ	27329
と	し	27227
で	、	27098
ら	い	27061
で	は	27032
ね	ん	26970
う	じ	26956
の	し	26914
＿	き	26774
＿	わ	26690
う	と	26471
ょ	く	26414
ま	せ	26202
＿	な	26148
ひ	と	26126
＿	・	26086
あ	り	26024
か	く	25982
ん	を	25934
う	な	25914
く	し	25767
あ	い	25452
＿	た	25447
い	ん	25371
か	っ	25298
＿	は	25213
い	き	25211
こ	の	24941
で	き	24269
ん	は	23955
こ	ん	23762
い	が	23737
っ	と	23706
げ	ん	23677
が	あ	23640
い	な	23529
の	は	23497
そ	れ	23280
い	。	23235
で	あ	23035
＿	の	22973
に	か	22919
う	い	22861
い	じ	22719
と	は	22662
る	こ	22624
な	っ	22196
い	は	21853
さ	れ	21824
れ	て	21819
き	に	21630
＿	で	21258
に	ん	21215
な	ん	20981
の	う	20945
す	か	20910
で	も	20873
な	ら	20715
う	を	20634
て	も	20326
に	し	20080
う	き	20064
ら	、	20029
う	こ	20004
も	う	19926
ぜ	ん	19890
う	は	19835
く	に	19783
＿	だ	19573
て	く	19350
き	ゅ	19343
と	、	19339
く	な	19020
と	き	18995
い	さ	18851
れ	た	18750
た	ら	18689
く	の	18637
じ	ん	18627
れ	る	18584
し	い	18505
な	り	18479
ん	き	18324
て	ん	18269
し	か	18263
と	も	18261
に	、	18220
ち	ゅ	18172
い	こ	18112
か	し	18107
れ	ば	17998
と	か	17962
こ	ろ	17746
ほ	ん	17671
＿	ち	17657
い	を	17653
く	だ	17599
と	が	17532
を	し	17503
に	ち	17466
か	な	17454
と	こ	17418
た	か	17415
が	く	17372
ま	で	17316
な	く	17283
ん	せ	17245
き	な	17238
の	じ	17168
し	、	17124
き	ま	17112
つ	か	16745
＿	が	16693
か	の	16651
き	ん	16612
ま	い	16575
お	お	16516
を	か	16365
ゆ	う	16324
え	ん	16294
＿	す	16252
し	は	16174
か	た	16151
に	い	16133
＿	ー	16114
と	に	16109
も	ん	16102
り	、	16098
に	お	16023
＿	も	15918
わ	れ	15839
＿	ど	15820
＿	せ	15813
＿	ふ	15798
た	り	15713
ら	れ	15670
う	り	15662
こ	く	15613
の	と	15613
な	る	15562
の	な	15545
だ	ん	15486
た	が	15427
の	よ	15404
は	ん	15387
あ	っ	15383
る	か	15328
と	を	15292
な	の	15283
ろ	う	15265
ん	。	15242
つ	い	15179
。	。	15177
ん	た	15165
う	せ	15148
に	も	15126
ん	ど	15073
と	り	15022
う	す	15017
な	が	15014
う	ち	15008
う	さ	14965
な	に	14955
も	っ	14912
ん	こ	14885
か	れ	14877
＿	つ	14855
か	り	14839
め	い	14820
い	く	14712
ら	な	14709
の	き	14700
き	の	14646
え	て	14570
た	ん	14538
や	く	14486
た	ち	14482
た	と	14438
う	。	14399
も	、	14353
き	た	14291
と	の	14270
を	お	14241
う	だ	14224
だ	さ	14162
だ	け	14154
も	し	14137
っ	し	14083
く	は	14039
わ	か	14017
ま	た	14000
と	な	13985
の	お	13966
い	け	13950
に	あ	13793
ま	っ	13761
ぎ	ょ	13748
の	い	13738
の	あ	13715
て	し	13707
＿	ひ	13707
た	く	13676
た	だ	13597
う	け	13423
＿	み	13419
＿	ほ	13344
れ	い	13327
の	た	13303
し	の	13298
ん	て	13287
こ	れ	13223
＿	ね	13220
か	に	13148
お	い	13102
だ	っ	13102
す	よ	13102
＿	け	13060
＿	よ	13050
な	し	12937
は	し	12933
い	せ	12880
ま	え	12875
て	は	12868
た	め	12866
ん	す	12847
に	つ	12834
な	ど	12831
は	あ	12750
ば	ん	12712
か	え	12618
ざ	い	12589
れ	ま	12567
の	ひ	12549
く	ら	12545
し	き	12467
と	で	12414
え	い	12368
ち	が	12344
い	、	12318
か	わ	12305
に	よ	12256
ん	さ	12249
い	だ	12249
い	す	12247
つ	の	12133
は	じ	12127
ゃ	く	12122
＿	を	12072
を	つ	12061
い	よ	12029
し	な	12026
れ	は	11979
く	を	11967
っ	く	11945
し	つ	11890
っ	か	11877
あ	ん	11784
＿	ご	11765
さ	ま	11764
じ	ぶ	11736
ら	し	11675
は	か	11659
が	た	11583
じ	ゃ	11576
て	お	11570
の	せ	11531
＿	、	11528
で	い	11519
よ	り	11463
の	ほ	11450
い	わ	11441
ね	。	11414
く	さ	11355
る	よ	11318
が	つ	11292
く	て	11289
く	り	11284
え	る	11279
で	ん	11228
っ	こ	11226
ー	ー	11112
の	が	11066
い	も	11035
お	と	10960
す	と	10937
つ	き	10932
ち	に	10922
た	ー	10894
ん	い	10873
の	だ	10753
う	え	10739
か	か	10730
だ	と	10707
お	し	10670
あ	た	10659
る	い	10657
う	た	10651
り	か	10648
お	り	10648
が	し	10628
さ	く	10616
へ	ん	10606
よ	。	10603
に	た	10502
と	く	10500
の	に	10459
せ	つ	10453
ー	と	10426
ば	い	10391
う	ほ	10359
ん	、	10274
お	く	10235
く	と	10193
＿	え	10191
も	と	10182
＿	く	10181
お	き	10175
あ	げ	10155
ち	ゃ	10151
＿	う	10147
が	え	10104
＿	や	10091
が	っ	10055
た	こ	10053
だ	し	10050
く	る	10037
だ	。	10035
ら	ん	10026
き	が	9979
が	お	9964
へ	い	9953
い	え	9939
ち	か	9911
つ	も	9910
い	ろ	9849
の	ま	9840
み	ん	9829
き	か	9811
て	る	9792
の	も	9760
ー	る	9725
し	く	9696
が	で	9688
に	ゅ	9682
め	ん	9661
き	て	9639
お	う	9625
お	ん	9590
か	け	9570
を	み	9424
く	れ	9423
り	の	9412
れ	ん	9408
も	あ	9365
を	も	9353
お	こ	9346
た	ま	9316
ぼ	く	9301
ろ	く	9291
ふ	く	9271
う	も	9251
け	っ	9222
ん	ち	9216
く	が	9215
ま	ん	9202
い	り	9183
ご	う	9176
ん	り	9168
ひ	ょ	9163
ん	ご	9161
は	お	9123
つ	く	9116
い	や	9116
つ	に	9093
も	ち	9062
は	こ	9043
の	ち	9003
の	さ	8941
ぼ	う	8934
う	、	8926
ば	あ	8918
く	、	8908
こ	こ	8904
う	よ	8891
そ	ん	8883
た	は	8873
お	か	8871
が	な	8869
つ	う	8854
き	る	8797
つ	よ	8796
い	つ	8773
り	つ	8761
が	か	8745
じ	つ	8726
ち	の	8723
が	ら	8713
よ	い	8687
く	す	8679
る	し	8657
ん	け	8645
が	わ	8614
て	ま	8600
り	し	8598
ど	の	8590
く	で	8586
に	き	8585
み	な	8584
ら	く	8576
け	て	8550
な	た	8539
ぜ	ろ	8506
き	し	8490
っ	き	8466
つ	け	8453
よ	く	8421
か	も	8404
す	い	8388
の	み	8385
に	と	8368
な	じ	8366
け	る	8356
ま	り	8349
よ	ん	8339
れ	な	8300
っ	ぽ	8281
も	な	8269
き	で	8261
い	れ	8247
あ	な	8245
め	て	8241
じ	か	8230
は	た	8210
せ	き	8206
ん	も	8196
う	ご	8183
み	た	8162
か	つ	8156
か	、	8150
き	は	8106
く	じ	8104
す	の	8066
を	い	8044
＿	て	8038
ゅ	ー	8037
ば	、	8007
は	ち	7981
き	を	7964
こ	し	7963
く	せ	7944
は	つ	7941
し	あ	7914
