15033	ょ	う
7484	て	い
6341	し	ょ
6117	っ	て
5998	ゅ	う
5875	し	て
5588	な	い
5389	か	い
5357	よ	う
5318	こ	う
5196	っ	た
5075	か	ん
5059	う	し
5009	し	た
4765	こ	と
4724	せ	い
4691	た	い
4319	じ	ょ
4239	す	。
4040	た	。
3950	す	る
3904	か	ら
3840	と	い
3804	い	し
3743	ま	す
3740	し	ゅ
3661	は	、
3632	ん	し
3497	で	す
3469	る	。
3448	ん	の
3443	き	ょ
3382	い	る
3352	い	の
3326	い	う
3299	う	に
3279	さ	い
3206	あ	る
3169	し	ん
3073	せ	ん
3055	ん	で
3028	と	う
2951	う	の
2930	い	た
2925	し	ゃ
2916	ん	が
2860	と	し
2859	ち	ょ
2854	ど	う
2752	う	か
2750	だ	い
2737	け	ん
2711	ん	と
2666	て	き
2610	い	か
2560	そ	う
2549	ん	に
2526	さ	ん
2486	が	、
2482	の	で
2456	い	て
2447	い	ま
2443	ん	か
2442	ほ	う
2322	の	か
2320	に	は
2318	が	い
2288	け	い
2229	い	と
2217	る	と
2195	い	。
2121	ん	だ
2090	い	ん
2086	も	の
2085	て	、
2076	い	に
2071	ん	じ
2050	ひ	と
2046	ぶ	ん
2045	う	じ
2043	ん	を
2041	じ	ゅ
2033	か	く
2033	に	な
2026	ら	い
2023	で	は
2016	げ	ん
2006	は	な
1996	く	し
1958	、	こ
1951	で	あ
1942	る	の
1935	な	か
1922	こ	の
1920	い	っ
1915	り	ょ
1914	の	し
1910	で	、
1889	の	は
1885	ょ	く
1877	ま	し
1874	の	こ
1857	い	で
1846	る	こ
1841	い	き
1838	う	が
1825	さ	れ
1821	う	い
1818	し	ま
1818	た	の
1815	う	な
1812	そ	の
1811	い	が
1800	う	で
1788	ほ	ん
1775	っ	と
1759	ん	な
1752	う	と
1736	う	き
1736	お	も
1724	き	に
1722	か	っ
1688	は	い
1672	う	こ
1662	り	ま
1652	で	き
1644	れ	て
1643	、	そ
1630	と	は
1623	が	あ
1616	こ	ん
1612	な	っ
1597	う	を
1579	ぜ	ん
1558	い	は
1537	て	ん
1531	あ	い
1528	い	さ
1528	い	ち
1506	は	ん
1504	お	ん
1490	と	お
1489	さ	く
1483	い	じ
1482	ん	は
1477	い	い
1449	に	か
1449	れ	る
1440	そ	れ
1431	い	な
1427	お	お
1421	し	か
1420	き	ゅ
1411	ね	ん
1398	し	、
1389	か	た
1387	と	が
1386	か	し
1385	で	も
1384	う	は
1373	い	を
1369	ざ	い
1354	う	。
1346	と	も
1346	な	ど
